Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_60min,Max_360min,Max_480min,Max_600min,Max_720min,Max_1440min
2007,62.0,7.46889696,11.86236576,15.3771408,17.793548639999997,19.990283039999998,21.967344,31.169880000000003,48.34512,49.617360000000005,52.16184,54.0702,69.97319999999999
2008,44.0,5.30050752,8.41845312,10.9128096,12.62767968,14.18665248,15.589728000000001,22.12056,34.30944,35.21232,37.01808,38.3724,49.65839999999999
2009,99.2,11.950235136,18.979785216,24.60342528,28.469677823999998,31.984452863999998,35.1477504,49.871808,77.352192,79.387776,83.458944,86.51232,111.95711999999999
2010,69.6,8.384439168,13.316462207999999,17.262080639999997,19.974693311999996,22.440704831999998,24.6601152,34.990703999999994,54.271295999999985,55.699487999999995,58.555871999999994,60.698159999999994,78.55055999999998
2011,98.8,11.902048704,18.903253824,24.50421792,28.354880736,31.855483295999996,35.0060256,49.670712,77.04028799999999,79.067664,83.122416,86.16348,111.50567999999998
2012,56.4,6.794286912,10.790926272,13.98823776,16.186389408,18.184709087999998,19.9831968,28.354536,43.978463999999995,45.135792,47.450447999999994,49.18644,63.65303999999999
2013,85.2,10.263710016000001,16.301186496,21.13116768,24.451779744,27.470517983999997,30.1873824,42.833448000000004,66.43555199999999,68.183856,71.680464,74.30292,96.15671999999999
2014,65.60000000000001,7.902574848000001,12.551148288000002,16.270007040000003,18.826722432,21.151009152,23.242867200000003,32.979744000000004,51.152256,52.498368000000006,55.190592,57.20976000000001,74.03616000000001
2015,69.0,8.31215952,13.20166512,17.1132696,19.80249768,22.247250479999998,24.447528000000002,34.68906,53.803439999999995,55.219319999999996,58.05108,60.17490000000001,77.87339999999999
2017,62.0,7.46889696,11.86236576,15.3771408,17.793548639999997,19.990283039999998,21.967344,31.169880000000003,48.34512,49.617360000000005,52.16184,54.0702,69.97319999999999
2018,59.2,7.131591936,11.326646016,14.68268928,16.989969024,19.087496064,20.975270400000003,29.762208,46.161792,47.37657600000001,49.806143999999996,51.62832,66.81312
2019,66.4,7.9989477120000005,12.704211072000001,16.468421760000002,19.056316608,21.408948288,23.526316800000004,33.381936,51.776064,53.138592,55.863648000000005,57.90744,74.93903999999999
2020,78.6,9.468633888,15.038418528,19.49424624,22.557627791999998,25.342520111999995,27.848923199999998,39.515364,61.289135999999985,62.902008,66.127752,68.54706,88.70795999999999
