Year,Max_5min,Min_5min,Max_10min,Min_10min,Max_15min,Min_15min,Max_20min,Min_20min,Max_25min,Min_25min,Max_30min,Min_30min,Max_1h,Min_1h,Max_3h,Min_3h,Max_6h,Min_6h,Max_8h,Min_8h,Max_10h,Min_10h,Max_12h,Min_12h,Max_24h,Min_24h
2015,8.0,0.0,13.2,0.0,17.000000000000004,0.0,20.2,0.0,22.0,0.0,22.2,0.0,23.4,0.0,30.6,0.0,35.0,0.0,36.2,0.0,40.60000000000001,0.0,41.400000000000006,0.0,53.8,0.0
2016,10.0,0.0,16.0,0.0,19.200000000000003,0.0,23.4,0.0,28.200000000000003,0.0,31.40000000000001,0.0,27.8,0.0,42.400000000000006,0.0,76.4,0.0,86.8,0.0,99.6,0.0,104.2,0.0,155.39999999999998,0.0
2017,5.2,0.0,6.400000000000001,0.0,8.0,0.0,9.8,0.0,11.4,0.0,12.8,0.0,21.4,0.0,36.2,0.0,38.8,0.0,40.400000000000006,0.0,41.4,0.0,43.99999999999999,0.0,63.8,0.0
2018,1.0,0.0,1.8,0.0,2.4000000000000004,0.0,3.000000000000001,0.0,3.4000000000000004,0.0,4.000000000000001,0.0,4.6000000000000005,0.0,13.0,0.0,23.800000000000004,0.0,29.4,0.0,33.400000000000006,0.0,36.400000000000006,0.0,37.8,0.0
