Year,Precipitation,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1h,Max_6h,Max_8h,Max_10h,Max_12h,Max_24h
2007,62.0,5.975117568,9.489892608,12.301712640000002,14.234838911999999,15.992226432,17.5738752,23.748480000000004,40.71168,44.10432,46.366080000000004,48.0624,56.544
2008,44.0,4.240406016,6.734762496,8.730247680000002,10.102143744,11.349321984000001,12.4717824,16.85376,28.89216,31.29984,32.90496,34.1088,40.128
2009,99.2,9.5601881088,15.183828172800002,19.682740224000003,22.775742259199998,25.5875622912,28.118200320000003,37.99756800000001,65.138688,70.566912,74.18572800000001,76.89984,90.4704
2010,69.6,6.7075513344,10.6531697664,13.809664512,15.979754649599997,17.9525638656,19.72809216,26.659584000000002,45.702144,49.510656,52.049664,53.95392,63.47519999999999
2011,98.8,9.5216389632,15.122603059200001,19.603374336,22.683904588799997,25.4843866368,28.004820480000003,37.844352,64.876032,70.28236799999999,73.88659200000001,76.58976,90.1056
2012,56.4,5.4354295296,8.6327410176,11.190590208000001,12.9491115264,14.5477672704,15.98655744,21.603456,37.034496,40.120703999999996,42.178176,43.72128,51.43679999999999
2013,85.2,8.2109680128,13.040949196800002,16.904934144000002,19.5614237952,21.976414387200002,24.149905920000002,32.635008000000006,55.945728,60.607872,63.715968000000004,66.04704,77.7024
2014,65.60000000000001,6.322059878400001,10.040918630400002,13.016005632000002,15.0613779456,16.9208073216,18.594293760000003,25.127424000000005,43.075584000000006,46.66521600000001,49.05830400000001,50.853120000000004,59.827200000000005
2015,69.0,6.649727616,10.561332096000001,13.69061568,15.841998143999998,17.797800384000002,19.558022400000002,26.42976,45.30816,49.08384,51.60096,53.4888,62.928
2017,62.0,5.975117568,9.489892608,12.301712640000002,14.234838911999999,15.992226432,17.5738752,23.748480000000004,40.71168,44.10432,46.366080000000004,48.0624,56.544
2018,59.2,5.7052735488,9.061316812800001,11.746151424,13.5919752192,15.269996851200002,16.78021632,22.675968000000005,38.873088,42.112512,44.272128,45.89184,53.9904
2019,66.4,6.399158169600001,10.163368857600002,13.174737408000002,15.245053286400001,17.127158630400004,18.821053440000004,25.433856000000006,43.600896000000006,47.234304,49.65657600000001,51.47328,60.5568
2020,78.6,7.5749071104,12.0307348224,15.595396992,18.046102233599996,20.2740160896,22.27913856,30.106944000000002,51.611903999999996,55.912895999999996,58.780224000000004,60.930719999999994,71.68319999999999
