distribution,sse,c,loc,scale
Gumbel_r,0.00036689720995344594,,62.20750772076652,12.934795658793687
Genlogistic,0.0004160576106843904,4.839253443513592,46.12153525280645,11.35689482321019
Lognorm,0.0004475023493267159,0.2368792131647004,5.391865572787976,62.24307193731116
Chi2,0.0004532666577021532,17.280583022654408,24.33963569842364,2.607675964265461
Gamma,0.0004532671827836807,8.640315619843046,24.339583198565684,5.215344328666291
