Year,Precipitation
2007.0,62.0
2008.0,44.0
2009.0,99.2
2010.0,69.6
2011.0,98.8
2012.0,56.4
2013.0,85.2
2014.0,65.60000000000001
2015.0,69.0
2017.0,62.0
2018.0,59.2
2019.0,66.4
2020.0,78.6
