distribution,sse,c,loc,scale
Gumbel,3.3468523627056556e-05,,73.52394742597313,15.627276187320778
Generalized Logistic,4.479923488862796e-05,4.1317055281442805,57.003838832494324,13.44790394777911
Lognormal,5.506279846956932e-05,0.17997395234307673,-16.633719200562876,97.11624612702028
GEV,5.8282252242979625e-05,0.16307999596423373,74.886744053619,16.1971788019254
Normal,0.0001192998378937796,,82.06440677966101,17.798397973154813
