P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,P_RP_200,P_RP_500,P_RP_1000,d
11.893004355410916,13.582159488917654,15.017580880743273,17.150517444078424,18.96305834673796,20.967156415793546,23.183056241556976,26.475729588892044,29.27379926603692,5
19.213575707831232,21.94246649690571,24.261441312712805,27.707276941369255,30.635501872267007,33.87319428580749,37.453060044782454,42.77249210329318,47.29287416748966,10
24.422233466331473,27.89090629268802,30.838537968092417,35.21851405840186,38.94055903283984,43.05596582739227,47.60630662148911,54.367797226711865,60.113621315240415,15
28.442386887183094,32.48203930670078,35.914881787235835,41.01584745808386,45.35057971426366,50.14342523390748,55.4427994091915,63.31730163245959,70.00894807572708,20
31.71004142862018,36.21379654904067,40.04102728419206,45.72802652902162,50.560762261456865,55.904242419845716,61.81244468537854,70.5916231952565,78.05205142103635,25
34.46227461072602,39.35692749501108,43.5163379104877,49.69693310546647,54.949120060414224,60.75638086169333,67.17737811547603,76.7185343875372,84.82648110243443,30
36.84104564245509,42.073553721239776,46.52006895255256,53.12728197745494,58.7420030460902,64.95011213506413,71.81432105826336,82.01405911012715,90.68165979418512,35
38.937548913617775,44.46782189326932,49.16737374624031,56.15058162900887,62.08481808820337,68.64621033691938,75.90103891302137,86.68121065827883,95.84205611512682,40
40.8135940434157,46.610320407509725,51.53630077516607,58.85596571556552,65.07611887262509,71.95364473314613,79.55801728922255,90.85758712874483,100.45981012433512,45
42.512882660573034,48.55095780460551,53.68203313052978,61.30645494437181,67.78558640766737,74.94946052256064,82.8704438557085,94.64047533569912,104.64249032751637,50
44.06738758461986,50.32624798139803,55.64494365580557,63.548156285769316,70.26420044782617,77.69002522072977,85.90064329102265,98.1010518884135,108.46879558602818,55
45.50116977926169,51.96366926352644,57.45541470499903,65.61576727836312,72.55032551774065,80.21775788127972,88.69551767794756,101.2928803398539,111.99795028091121,60
