Station,Disag_factors,Dist_Type,K,t0,m,n
HADGEM_QM_baseline,_p0.2,GenLogistic,627.58076,11.991418,0.170158,0.760158
HADGEM_QM_baseline,_p0.2,Gumbel,672.557023,11.991419,0.1752568,0.760158
HADGEM_QM_baseline,_bl,Lognormal,2138.297403,9.871049,-0.1726008,0.90845778
HADGEM_QM_baseline,_bl,GenLogistic,1627.22127,11.1893487,0.068989103,0.89306866
HADGEM_QM_baseline,_bl,Gumbel,1747.32073,12.5028977,0.0865794,0.905595
HADGEM_QM_baseline,_bl,GEV,1603.14647,10.9988217,0.0721597,0.886724
HADGEM_PT_baseline,_ger,Lognormal,836.9278,2.2849,-0.0634205,0.701299
HADGEM_PT_baseline,_ger,GenLogistic,1021.5367,11.991418,0.205849,0.7601583
HADGEM_PT_baseline,_ger,Gumbel,1021.9235,11.991419,0.205879,0.760158
HADGEM_PT_baseline,_m0.2,Lognormal,824.78019,12.00296,0.2006868,0.760423
HADGEM_PT_baseline,_m0.2,GenLogistic,817.2294,11.991418,0.205894,0.760158
HADGEM_PT_baseline,_m0.2,Gumbel,817.5388,11.991419,0.205879,0.760158
HADGEM_PT_baseline,_p0.2,Lognormal,1.13294E+11,310.9882,-7.3344,2.4336
HADGEM_PT_baseline,_p0.2,GenLogistic,1225.8441,11.9914186,0.205849,0.760158
HADGEM_PT_baseline,_p0.2,Gumbel,1223.3082,11.991419,0.205879,0.760158
HADGEM_PT_baseline,_bl,Lognormal,2.03666E+13,422.016089,-9.648549,2.887854
HADGEM_PT_baseline,_bl,GenLogistic,1619.98118,14.6053168,0.092796,0.8124327
HADGEM_PT_baseline,_bl,Gumbel,1753.59273,16.6410902,0.107015109,0.8266831
HADGEM_PT_baseline,_bl,GEV,1872.5017,13.449755,0.0069457,0.82319199
HADGEM_MD_baseline,_ger,Normal,1240.7095,11.991419,0.133299,0.760158
HADGEM_MD_baseline,_ger,GEV,1196.9587,11.991214,0.150855,0.7601566
HADGEM_MD_baseline,_ger,Lognormal,4683110.552,82.253976,-5.08448,1.432578
HADGEM_MD_baseline,_ger,GenLogistic,1118.2526,11.9914184,0.19700447,0.760158
HADGEM_MD_baseline,_m0.2,Normal,992.5676,11.991419,0.133299,0.760158
HADGEM_MD_baseline,_m0.2,GEV,957.59117,11.991627,0.150851586,0.760159946
HADGEM_MD_baseline,_m0.2,Lognormal,1.45E+36,1757.47,-30.55198,7.0176
HADGEM_MD_baseline,_m0.2,GenLogistic,894.60217,11.9914193,0.1970044,0.760158
HADGEM_MD_baseline,_p0.2,Normal,1488.8514,11.991419,0.133299,0.760158
HADGEM_MD_baseline,_p0.2,GEV,1436.357549,11.9913005,0.150854,0.76015719
HADGEM_MD_baseline,_p0.2,Lognormal,132442.1626,29.5228887,-3.324968,1.092757
HADGEM_MD_baseline,_p0.2,GenLogistic,1341.903018,11.9914162,0.19700447,0.760158
HADGEM_MD_baseline,_bl,Gumbel,2004.68924,21.8037295,0.070665,0.82073851
HADGEM_MD_baseline,_bl,GenLogistic,2405.313054,24.57571728,0.022158854,0.844576
HADGEM_MD_baseline,_bl,GEV,2660.955317,22.4982396,-0.022083331,0.854898299
HADGEM_MD_baseline,_bl,Lognormal,183641.518,43.79816,-2.67634966,1.18018857
MIROC5_DBC_baseline,_ger,GenLogistic,878.07439,11.99145,0.1081316,0.7601585
MIROC5_DBC_baseline,_ger,Lognormal,8.9163,770.25806,-17.71505,3.948396
MIROC5_DBC_baseline,_ger,GEV,912.9103789,11.9920941,0.0861379,0.760164088
MIROC5_DBC_baseline,_m0.2,GenLogistic,702.45182,11.991254,0.1081331,0.76015696
MIROC5_DBC_baseline,_m0.2,Lognormal,705.443108,1.4835557,-0.46771,0.704644377
MIROC5_DBC_baseline,_m0.2,GEV,730.31191,11.99170557,0.086139,0.7601607
MIROC5_DBC_baseline,_p0.2,GenLogistic,1053.689228,11.9914528,0.1081316,0.7601585
MIROC5_DBC_baseline,_p0.2,Lognormal,304259.1395,42.9885396,-3.91188328,1.170488056
MIROC5_DBC_baseline,_p0.2,GEV,1093.933671,12.067371,0.0897923,0.76063468
MIROC5_DBC_baseline,_bl,GenLogistic,2350.499129,16.7621398,0.125056,0.890466
MIROC5_DBC_baseline,_bl,Lognormal,1805.481173,1.35404,-0.5048852,0.795474
MIROC5_DBC_baseline,_bl,GEV,2575.569871,17.2853826,0.0929793,0.88765818
MIROC5_QM_baseline,_ger,Lognormal,556.27977,11.991414,0.14217667,0.760158
MIROC5_QM_baseline,_ger,GEV,562.5986979,11.9912769,0.133004781,0.7601569
MIROC5_QM_baseline,_ger,Gumbel,570.0340547,11.99141938,0.124125306,0.760158
MIROC5_QM_baseline,_ger,GenLogistic,570.0178036,11.99141844,0.1240674,0.1240674
MIROC5_QM_baseline,_m0.2,Lognormal,445.0236687,11.99139942,0.142175499,0.760158
MIROC5_QM_baseline,_m0.2,GEV,450.0631046,11.990765,0.1330515,0.760151882
MIROC5_QM_baseline,_m0.2,Gumbel,456.0272437,11.991419,0.124125,0.760158
MIROC5_QM_baseline,_m0.2,GenLogistic,456.01423,11.991418,0.1240674,0.7601583
MIROC5_QM_baseline,_p0.2,Lognormal,449.325149,1.0324207,-0.124766,0.65675794
MIROC5_QM_baseline,_p0.2,GEV,675.112263,11.9910146,0.1330484,0.7601555
MIROC5_QM_baseline,_p0.2,Gumbel,684.0486563,11.991419,0.1241253,0.760158
MIROC5_QM_baseline,_p0.2,GenLogistic,684.0214299,11.99142,0.1240674,0.76015833
MIROC5_QM_baseline,_bl,Lognormal,2646.24413,16.73050812,0.07962187,0.96569138
MIROC5_QM_baseline,_bl,GEV,2585.717043,16.42320079,0.082327998,0.961201488
MIROC5_QM_baseline,_bl,Gumbel,2290.16379,14.9737394,0.104848054,0.947941911
MIROC5_QM_baseline,_bl,GenLogistic,2339.869212,15.00524207,0.087928315,0.949373293
MIROC5_PT_baseline,_ger,GenLogistic,952.384463,11.99142009,0.1749549,0.760158
MIROC5_PT_baseline,_ger,Lognormal,3458.894912,55.156059,0.5375239,1.008078
MIROC5_PT_baseline,_ger,GEV,949.9255969,11.99141194,0.176866,0.7601578
MIROC5_PT_baseline,_m0.2,GenLogistic,761.9074987,11.99141844,0.1749549,0.76015831
MIROC5_PT_baseline,_m0.2,Lognormal,757.2883513,11.99143578,0.18130982,0.76015838
MIROC5_PT_baseline,_m0.2,GEV,759.962503,11.99178438,0.17686049,0.760161279
MIROC5_PT_baseline,_p0.2,GenLogistic,1142.861247,11.991418,0.1749549,0.7601583
MIROC5_PT_baseline,_p0.2,Lognormal,1135.933917,11.9914278,0.18130936,0.760158
MIROC5_PT_baseline,_p0.2,GEV,1139.93247,11.99163178,0.17686206,0.76016159
MIROC5_PT_baseline,_bl,GenLogistic,2931.938387,24.2016779,0.055299719,0.055299719
MIROC5_PT_baseline,_bl,Lognormal,75370.61353,27.692617,-2.4621689,1.136128
MIROC5_PT_baseline,_bl,GEV,2929.706724,22.33159457,-0.001180844,0.888345497
MIROC5_PT_baseline,_bl,Gumbel,2787.881686,24.16280089,0.0999132,0.89447472
MIROC5_MD_baseline,_ger,GenLogistic,937.8786807,11.991418,0.1556047,0.76015831
MIROC5_MD_baseline,_ger,Lognormal,964.1536756,11.9915989,0.136160644,0.76016049
MIROC5_MD_baseline,_ger,Gumbel,935.90519,11.99141935,0.15738979,0.76015832
MIROC5_MD_baseline,_m0.2,GenLogistic,750.30296,11.9914185,0.1556047,0.760158
MIROC5_MD_baseline,_m0.2,Lognormal,716.3158829,6.07667219,-0.11909,0.7278089
MIROC5_MD_baseline,_m0.2,Gumbel,748.7241536,11.991419,0.1573897,0.760158
MIROC5_MD_baseline,_p0.2,GenLogistic,1125.4545,11.991419,0.1556047,0.760158327
MIROC5_MD_baseline,_p0.2,Lognormal,1020.38908,5.327415489,-0.11935436,0.720045869
MIROC5_MD_baseline,_p0.2,Gumbel,1123.08623,11.99141938,0.15738979,0.7601583
MIROC5_MD_baseline,_bl,GenLogistic,3210.5444,22.431087,0.0903476,0.92398099
MIROC5_MD_baseline,_bl,Lognormal,6957.985239,26.71898044,-0.311981544,0.98881072
MIROC5_MD_baseline,_bl,GEV,3934.829966,23.1392144,0.066119097,0.954588816
MIROC5_MD_baseline,_bl,Gumbel,2216.169002,16.95871594,0.156553894,0.872690041
